Graph,Gramm,lowest,highest,first,lowest-first,highest-first,lowest-highest,lowest_eis,highest_eis,first_eis,lowest-first_eis,highest-first_eis,lowest-highest_eis,First-eis-pruning,,,Time (ns) vis pruning,Time (ns) edge pruning,pick n choose,,avg,9036793.08988764,8395251.80898876,8152816.20224719,,,,lowest-no-pruning,Lowest-pruning,Lowest-first-pruning,,,,Graph,InitialLowerBound,ECC,Calls,ConteBound,TimeUnbounded,TimeBounded,CallsUnbounded,CallsBounded
random02.edges,0,0,0.04,0,0.01,0.01,0.03,0,0.04,0,0,0.01,0.01,0,,,34260,35460,68770,,stdev,42060402.9286272,37384059.0776525,36785671.9215829,,,,11,7,9,,,,jewish_star.edges,3,4,7,6,73070,36310,7,7
random15.edges,0.03,0,0.28,0.01,0.03,0.39,0.04,0,0.24,0.01,0.02,0.37,0.02,0,,,68160,36930,70181,,,,,,,,,1,1,1,,,,random01.edges,61,61,1,62,40390,76630,1,1
random29.edges,0.39,0.06,0.04,0.17,0.19,0.04,0.03,0.06,0.04,0.17,0.12,0.06,0.01,0.05,,,4312652,4316852,4359792,,,,,,,,,129,109,118,,,,random02.edges,199,208,109,213,5692553,5524623,109,109
random35.edges,0.31,0.58,120,1.04,0.36,80.97,73.22,0.49,120,0.91,0.41,120,37.9,0.26,,,106620,108230,160120,,,,,,,,,1,1,1,,,,random04.edges,133,133,1,134,156150,116020,1,1
random49.edges,0.01,0.01,0.35,0,0.01,0.09,0.1,0.01,0.34,0,0,0.05,0.04,0,,,180130,259500,337260,,,,,,,,,1,1,1,,,,random05.edges,179,179,1,183,386800,187140,1,1
random56.edges,0.03,0.01,0.02,0.04,0.04,0.06,0.02,0.01,0.02,0.03,0.03,0.05,0.02,0.01,,,423000,223620,334580,,,,,,,,,1,1,1,,,,random06.edges,206,206,1,217,243431,240021,1,1
random57.edges,0.76,0.08,120,0.1,0.13,7.65,8.57,0.08,120,0.11,0.14,8.41,4.35,0.08,,,7070,7130,7320,,,,,,,,,1,1,1,,,,random07.edges,11,11,1,11,9810,7480,1,1
random74.edges,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0,,,103060,68840,129830,,,,,,,,,1,1,1,,,,random08.edges,105,105,1,105,147490,78260,1,1
random83.edges,0.13,0.8,11.95,0.38,0.41,2.72,1.94,0.66,11.3,0.3,0.44,3.32,1.02,0.21,,,84430,56780,57610,,,,,,,,,1,1,1,,,,random09.edges,89,89,1,90,122850,62690,1,1
random98.edges,0.03,0.03,0.55,0.01,0.02,0.16,0.32,0.03,0.54,0.01,0.03,0.27,0.14,0.02,,,35190,34530,78760,,,,,,,,,1,1,1,,,,random10.edges,58,58,1,58,42460,37220,1,1
random99.edges,0.05,0.17,2.91,0.03,0.1,0.24,0.68,0.14,2.68,0.02,0.07,0.63,0.39,0.08,,,17350,17000,8660,,,,,,,,,1,1,1,,,,random11.edges,12,12,1,12,11190,8720,1,1
,,,,,,,,,,,,,,,,,36230,36140,81150,,,,,,,,,1,1,1,,,,random12.edges,59,59,1,59,50660,56660,1,1
,,,,,,,,,,,,,,,,,96750,191730,99160,,,,,,,,,1,1,1,,,,random13.edges,131,131,1,133,104810,100600,1,1
,,,,,,,,,,,,,,,,,36800,85270,65470,,,,,,,,,1,1,1,,,,random14.edges,62,62,1,62,41650,45670,1,1
,,,,,,,,,,,,,,,,,5685174,3579313,3643292,,,,,,,,,89,73,158,,,,random15.edges,267,279,73,287,4742553,4758083,73,73
,,,,,,,,,,,,,,,,,151310,145470,288560,,,,,,,,,1,1,1,,,,random16.edges,171,171,1,178,160700,161150,1,1
,,,,,,,,,,,,,,,,,8400,7090,8630,,,,,,,,,1,1,1,,,,random17.edges,11,11,1,11,8250,6020,1,1
,,,,,,,,,,,,,,,,,935680,952390,937861,,,,,,,,,15,15,11,,,,random19.edges,222,225,15,232,1097840,1066830,15,15
,,,,,,,,,,,,,,,,,213071,127000,192320,,,,,,,,,1,1,1,,,,random20.edges,146,146,1,150,272620,141990,1,1
,,,,,,,,,,,,,,,,,426190,285790,310410,,,,,,,,,3,3,3,,,,random21.edges,210,211,3,217,307830,316300,3,3
,,,,,,,,,,,,,,,,,1230141,1137581,1297941,,,,,,,,,15,9,9,,,,random24.edges,216,220,9,225,1022290,692080,9,9
,,,,,,,,,,,,,,,,,187030,419860,184021,,,,,,,,,1,1,1,,,,random25.edges,211,211,1,216,203070,207940,1,1
,,,,,,,,,,,,,,,,,18120,18250,18580,,,,,,,,,1,1,1,,,,random26.edges,20,20,1,20,15040,13270,1,1
,,,,,,,,,,,,,,,,,6290,4360,4330,,,,,,,,,1,1,1,,,,random28.edges,7,7,1,7,6800,4600,1,1
,,,,,,,,,,,,,,,,,50766130,50676949,53799721,,,,,,,,,695,679,1578,,,,random29.edges,221,237,693,246,63978137,64058327,693,693
,,,,,,,,,,,,,,,,,283310,262310,271360,,,,,,,,,1,1,1,,,,random30.edges,177,177,1,183,314650,149930,1,1
,,,,,,,,,,,,,,,,,15720,32120,32120,,,,,,,,,1,1,1,,,,random31.edges,30,30,1,30,19640,16500,1,1
,,,,,,,,,,,,,,,,,65790,129840,123601,,,,,,,,,1,1,1,,,,random32.edges,103,103,1,103,71830,69140,1,1
,,,,,,,,,,,,,,,,,108210,56230,111231,,,,,,,,,1,1,1,,,,random33.edges,86,86,1,86,61400,59940,1,1
,,,,,,,,,,,,,,,,,265406673,256675738,259583730,,,,,,,,,11807,6275,2519,,,,random35.edges,206,227,6275,239,363312580,380958240,6275,6275
,,,,,,,,,,,,,,,,,4530,4330,4400,,,,,,,,,1,1,1,,,,random36.edges,3,3,1,3,4540,3700,1,1
,,,,,,,,,,,,,,,,,215200,413970,404471,,,,,,,,,3,3,3,,,,random37.edges,145,145,3,152,231030,342860,3,3
,,,,,,,,,,,,,,,,,2813752,2379442,2241531,,,,,,,,,99,49,53,,,,random38.edges,201,208,61,217,5266773,4354202,61,61
,,,,,,,,,,,,,,,,,82030,39700,79290,,,,,,,,,1,1,1,,,,random39.edges,73,73,1,73,44900,42600,1,1
,,,,,,,,,,,,,,,,,6120,6100,4320,,,,,,,,,1,1,1,,,,random40.edges,7,7,1,7,7180,4190,1,1
,,,,,,,,,,,,,,,,,5570,11270,11630,,,,,,,,,1,1,1,,,,random41.edges,9,9,1,9,8530,13110,1,1
,,,,,,,,,,,,,,,,,24720,21190,12610,,,,,,,,,1,1,1,,,,random42.edges,19,19,1,19,15720,25880,1,1
,,,,,,,,,,,,,,,,,423340,414070,789051,,,,,,,,,7,7,7,,,,random43.edges,199,201,7,206,471480,459251,7,7
,,,,,,,,,,,,,,,,,296861,198091,196600,,,,,,,,,1,1,1,,,,random44.edges,193,193,1,203,209910,214251,1,1
,,,,,,,,,,,,,,,,,568591,1062091,1129671,,,,,,,,,3,3,3,,,,random46.edges,248,257,3,267,607570,635481,3,3
,,,,,,,,,,,,,,,,,459890,451020,307780,,,,,,,,,1,1,1,,,,random47.edges,238,238,1,249,320530,653001,1,1
,,,,,,,,,,,,,,,,,242770,544870,476650,,,,,,,,,1,1,1,,,,random48.edges,239,239,1,250,255260,246360,1,1
,,,,,,,,,,,,,,,,,8193945,6518094,6580104,,,,,,,,,135,127,64,,,,random49.edges,239,250,127,257,9254435,8733755,127,127
,,,,,,,,,,,,,,,,,1433250,1198401,1448121,,,,,,,,,5,5,5,,,,random50.edges,216,232,5,244,744521,746280,5,5
,,,,,,,,,,,,,,,,,19510,22800,10190,,,,,,,,,1,1,1,,,,random51.edges,18,18,1,18,13050,23420,1,1
