Graph,ECC,Calls,Time
jewish_star.edges,4,7,61050
random01.edges,61,1,41310
random02.edges,208,73,7376955
random04.edges,133,1,257740
random05.edges,179,1,212671
random06.edges,206,1,284580
random07.edges,11,1,7100
random08.edges,105,1,83330
random09.edges,89,1,65600
random10.edges,58,1,38720
random11.edges,12,1,9740
random12.edges,59,1,59500
random13.edges,131,1,113120
random14.edges,62,1,42070
random15.edges,279,41,6830504
random16.edges,171,1,356830
random17.edges,11,1,9770
random19.edges,225,13,1279150
random20.edges,146,1,329530
random21.edges,211,3,381751
random24.edges,220,9,853840
random25.edges,211,1,231840
random26.edges,20,1,12970
random28.edges,7,1,6520
random29.edges,237,685,69105360
random30.edges,177,1,322830
random31.edges,30,1,16800
random32.edges,103,1,116360
random33.edges,86,1,65910
random35.edges,227,3241,211710361
random36.edges,3,1,3410
random37.edges,145,3,371940
random38.edges,208,59,3747893
random39.edges,73,1,100270
random40.edges,7,1,4210
random41.edges,9,1,5960
random42.edges,19,1,13090
random43.edges,201,5,498360
random44.edges,193,1,248290
random46.edges,257,3,1247501
random47.edges,238,1,399831
random48.edges,239,1,615410
random49.edges,250,127,9421286
random50.edges,232,5,1385900
random51.edges,18,1,11400
random53.edges,61,1,42460
random54.edges,100,1,86920
random55.edges,4,1,2870
random56.edges,270,175,16324779
random57.edges,259,599,103064390
random58.edges,246,3,712581
random59.edges,3,1,5590
random60.edges,35,1,42010
random61.edges,45,1,27270
random62.edges,45,1,30420
random63.edges,137,1,220250
random64.edges,147,9,607470
random65.edges,187,1,188370
random67.edges,76,1,112470
random68.edges,51,1,70850
random70.edges,68,1,97630
random71.edges,63,1,46750
random72.edges,12,1,11310
random73.edges,196,1,229020
random74.edges,168,39,2111601
random76.edges,173,1,172140
random77.edges,44,1,35090
random78.edges,62,1,38280
random79.edges,97,1,143320
random80.edges,36,1,19790
random81.edges,70,1,88470
random82.edges,168,1,212540
random83.edges,226,3363,181562485
random84.edges,24,1,15290
random86.edges,97,1,112260
random87.edges,16,1,10490
random88.edges,131,1,122310
random89.edges,127,1,147270
random90.edges,158,1,156760
random91.edges,43,1,31040
random92.edges,57,1,37510
random93.edges,116,1,101450
random94.edges,132,1,131790
random96.edges,96,1,68760
random97.edges,60,1,100090
random98.edges,217,243,18103130
random99.edges,269,943,68808380
right.edges,5,3,80010
wrong2.edges,5,15,393970
