Graph,ECC,Calls,Time
jewish_star.edges,4,7,40120
random01.edges,61,1,61240
random02.edges,208,109,6125613
random04.edges,133,1,293650
random05.edges,179,1,213091
random06.edges,206,1,491871
random07.edges,11,1,10840
random08.edges,105,1,125250
random09.edges,89,1,97270
random10.edges,58,1,58140
random11.edges,12,1,19060
random12.edges,59,1,40170
random13.edges,131,1,226010
random14.edges,62,1,76540
random15.edges,279,73,5238363
random16.edges,171,1,395890
random17.edges,11,1,5750
random19.edges,225,15,3051702
random20.edges,146,1,307450
random21.edges,211,3,371871
random24.edges,220,9,1698651
random25.edges,211,1,470240
random26.edges,20,1,28070
random28.edges,7,1,9150
random29.edges,237,687,70716141
random30.edges,177,1,333880
random31.edges,30,1,37000
random32.edges,103,1,76780
random33.edges,86,1,66170
random35.edges,227,6275,376152377
random36.edges,3,1,4170
random37.edges,145,3,275031
random38.edges,208,61,4647653
random39.edges,73,1,90571
random40.edges,7,1,4250
random41.edges,9,1,6300
random42.edges,19,1,13280
random43.edges,201,7,560030
random44.edges,193,1,369750
random46.edges,257,3,741641
random47.edges,238,1,385060
random48.edges,239,1,323060
random49.edges,250,127,9806356
random50.edges,232,5,1380690
random51.edges,18,1,11240
random53.edges,61,1,42140
random54.edges,100,1,57560
random55.edges,4,1,2770
random56.edges,270,175,13194008
random57.edges,259,599,100662588
random58.edges,246,3,736280
random59.edges,3,1,2080
random60.edges,35,1,42140
random61.edges,45,1,26860
random62.edges,45,1,44800
random63.edges,137,1,288020
random64.edges,147,11,626100
random65.edges,187,1,189530
random67.edges,76,1,55800
random68.edges,51,1,31710
random70.edges,68,1,94320
random71.edges,63,1,69900
random72.edges,12,1,7420
random73.edges,196,1,337211
random74.edges,168,39,1905461
random76.edges,173,1,174620
random77.edges,44,1,34770
random78.edges,62,1,56250
random79.edges,97,1,71271
random80.edges,36,1,30750
random81.edges,70,1,116000
random82.edges,168,1,208100
random83.edges,226,7827,389295224
random84.edges,24,1,27960
random86.edges,97,1,76380
random87.edges,16,1,22970
random88.edges,131,1,119610
random89.edges,127,1,95390
random90.edges,158,1,232240
random91.edges,43,1,31290
random92.edges,57,1,54780
random93.edges,116,1,103280
random94.edges,132,1,194250
random96.edges,96,1,68750
random97.edges,60,1,74840
random98.edges,217,421,25731684
random99.edges,269,1451,99226797
right.edges,5,3,79220
wrong2.edges,5,15,187140
