Graph,ECC,Calls,Time
jewish_star.edges,4,7,61140
random01.edges,61,1,41870
random02.edges,208,111,6253214
random04.edges,133,1,125490
random05.edges,179,1,328990
random06.edges,206,1,563041
random07.edges,11,1,10950
random08.edges,105,1,121881
random09.edges,89,1,133340
random10.edges,58,1,38670
random11.edges,12,1,13630
random12.edges,59,1,81230
random13.edges,131,1,221050
random14.edges,62,1,92190
random15.edges,279,81,7623675
random16.edges,171,1,180490
random17.edges,11,1,12740
random19.edges,225,15,2004700
random20.edges,146,1,347530
random21.edges,211,3,736791
random24.edges,220,9,1279061
random25.edges,211,1,230330
random26.edges,20,1,18840
random28.edges,7,1,8730
random29.edges,237,693,69280100
random30.edges,177,1,167850
random31.edges,30,1,25900
random32.edges,103,1,157780
random33.edges,86,1,65970
random35.edges,227,6707,400985351
random36.edges,3,1,4820
random37.edges,145,3,393581
random38.edges,208,67,4088842
random39.edges,73,1,46420
random40.edges,7,1,8470
random41.edges,9,1,8940
random42.edges,19,1,13420
random43.edges,201,7,566510
random44.edges,193,1,245671
random46.edges,257,3,1083951
random47.edges,238,1,378101
random48.edges,239,1,300900
random49.edges,250,127,9360645
random50.edges,232,5,1838561
random51.edges,18,1,21910
random53.edges,61,1,63710
random54.edges,100,1,61550
random55.edges,4,1,5480
random56.edges,270,175,13259228
random57.edges,259,599,102626089
random58.edges,246,3,923830
random59.edges,3,1,4320
random60.edges,35,1,21050
random61.edges,45,1,27320
random62.edges,45,1,29630
random63.edges,137,1,214241
random64.edges,147,15,920280
random65.edges,187,1,186540
random67.edges,76,1,56710
random68.edges,51,1,46540
random70.edges,68,1,52620
random71.edges,63,1,93760
random72.edges,12,1,7310
random73.edges,196,1,219940
random74.edges,168,39,1934752
random76.edges,173,1,338270
random77.edges,44,1,35210
random78.edges,62,1,37360
random79.edges,97,1,106970
random80.edges,36,1,20570
random81.edges,70,1,59110
random82.edges,168,1,211060
random83.edges,226,8609,427903607
random84.edges,24,1,15190
random86.edges,97,1,149890
random87.edges,16,1,10200
random88.edges,131,1,121561
random89.edges,127,1,96200
random90.edges,158,1,209440
random91.edges,43,1,31430
random92.edges,57,1,75170
random93.edges,116,1,101650
random94.edges,132,1,138190
random96.edges,96,1,70840
random97.edges,60,1,49930
random98.edges,217,473,27980766
random99.edges,269,1507,100018087
right.edges,5,3,81840
wrong2.edges,5,17,204511
